Column1,Column2,Column3,Column4,,
,a,ora 08:00,,0,b
,b,ora 11:00,X,X,b
,c,ora 18:00,,0,
,d,ora 22:00,,0,
CC150,,150. Aproximativ de la ce oră este probabil vântul de munte în munții Carpați?,,c,c
,a,ora 08:00am,,0,c
,b,ora 11:00am,,0,c
,c,ora 18:00pm,X,X,c
,d,ora 22:00pm,,0,
CC151,,151. Vântul de vale în munții Carpați,,a,a
,a,e mai puternic în perioada iulie-septembrie de cât în perioada decembrieaprilie.,X,X,a
,b,e mai puternic în perioada octombrie-februarie de cât în perioada iulie-septembrie.,,0,
,c,e mai puternic în perioada decembrie-aprilie de cât în perioada decembrie-aprilie.,,0,
,d,are aceași intensitate indiferent de perioada anului.,,0,
CC152,,152. Care din următoarele afirmații este corectă?,,c,c
,a,Vântul de vale bate mai slab lângă sol și crește în intensitate continuu o dată cu creșterea altitudinii.,,0,c
,b,Vântul de vale are aceeași intensitate la 50 m deasupra solului cu intensitatea de la 800 m deasupra solului.,,0,c
,c,Intensitatea vântului de vale crește o dată cu scăderea altitudinii.,X,X,c
,d,Vântul de vale e cel mai puternic la aproximativ 500 m deasupra solului și se reduce deasupra și sub acest nivel.,,0,
CC153,,153. În care din următoare condiții este cea mai probabilă apariția vântului de vale în zonele alpine?,,c,c
,a,"30 decembrie, 14:00pm, cer fără nori.",,0,c
,b,"30 iulie, 14:00pm, cer acoperit total.",,0,c
,c,"30 august, 15:00pm, acoperire 3/8 până la 5/8 cu nori cumulus.",X,X,c
,d,"30 iunie, 20:00pm, cer fără nori.",,0,
CC154,,"154. Termenul de ”turbulență mecanică” descrie, din punct de vedere al meteorologiei, mișcarea maselor de aer cauzată de",,b,b
,a,bule de aer cald care se desprind de sol și se ridică.,,0,b
,b,"o masă de aer care se mișcă aproape de sol și care este perturbată de teren, case, pomi, etc.",X,X,b
,c,echipamente tehnice cum ar fi aeronavele care se mișcă în masa de aer.,,0,
,d,frecarea a două mase de aer alăturate care de deplasează în direcții diferite sau cu viteze diferite.,,0,
CC155,,"155. Termenul de ”tubulență de forfecare” descrie, din punct de vedere al meteorologiei, mișcarea maselor de aer cauzată de",,d,d
,a,bule de aer cald care se desprind de sol și se ridică.,,0,d
,b,"o masă de aer care se mișcă aproape de sol și care este perturbată de teren, case, pomi, etc.",,0,d
,c,un flux de aer care este separat în straturi de către un obstacol.,,0,d
,d,frecarea a două mase de aer alăturate care de deplasează în direcții diferite sau cu viteze diferite.,X,X,d
CC156,,"156. Termenul de ”tubulență termică” descrie, din punct de vedere al meteorologiei, mișcarea maselor de aer cauzată de",,a,a
,a,bule de aer cald care se desprind de sol și se ridică.,X,X,a
,b,"o masă de aer care se mișcă aproape de sol și care este perturbată de teren, case, pomi, etc.",,0,
,c,"două mase de aer care, freacându-se între ele, se încălzesc și se ridică .",,0,
,d,frecarea a două mase de aer alăturate care de deplasează în direcții diferite sau cu viteze diferite.,,0,
CC157,,"157. La ora 14 pm într-o zonă montană, zi de vară, cu vânt general de nordvest de după trecerea unui front rece, vântul de vale are intensitea de 25 km/h pe fundul văii. La ce fel de turbulență ne putem aștepta în mijlocul văii la 500m deasupra solului?",,d,d
,a,turbulență mecanică,,0,d
,b,nici un fel de turbulență,,0,d
,c,turbulență de inversiune,,0,d
,d,turbulență de forfecare,X,X,d
CC158,,"158. La ora 14 pm într-o zi de vară, vântul de vale are intensitea de 25 km/h pe fundul văii. La ce fel de turbulență ne putem aștepta în mijlocul văii la 20m deasupra solului?",,a,a
,a,turbulență mecanică,X,X,a
,b,nici un fel de turbulență,,0,
,c,turbulență de gradient,,0,
,d,turbulență de forfecare,,0,
CC159,,"159. Ce tip de turbulență putem întâlni în văile alpine cu vânt puternic de vale, pe o față sudică, la o altitudine de 2000m ASL, într-o zi de vară la ora 13:00pm.",,b,b
,a,turbulență mecanică,,0,b
,b,turbulență termică,X,X,b
,c,turbulență de gradient,,0,
,d,turbulență de forfecare,,0,
CC160,,"160. Când ne putem aștepta la cele mai puține turbulențe, într-o zi cu vreme frumoasă de iulie, în văile alpine în care este de obicei vânt puternic de vale.",,a,a
,a,În jur de ora 9 am.,X,X,a
,b,În jur de ora 11 am.,,0,
,c,În jur de ora 13 pm.,,0,
,d,În jur de ora 18 pm.,,0,
CC161,,"161. Când ne putem aștepta la cele mai puternice turbulențe, într-o zi cu vreme frumoasă de iulie, în văile alpine în care este de obicei vânt puternic de vale.",,c,c
,a,În jur de ora 9 am.,,0,c
,b,În jur de ora 11 am.,,0,c
,c,În jur de ora 13 pm.,X,X,c
,d,În jur de ora 18 pm.,,0,
CC162,,"162. Când ne putem aștepta la mai multe termici și cele mai puține turbulențe de forfecare, într-o zi cu vreme frumoasă de iulie, în văile alpine în care este de obicei vânt puternic de vale.",,b,b
,a,În jur de ora 9 am.,,0,b
,b,În jur de ora 11 am.,X,X,b
,c,În jur de ora 13 pm.,,0,
,d,În jur de ora 18 pm.,,0,
CC163,,163. Ce se înțelege prin ”masă de aer”?,,a,a
,a,Un corp de aer cu aceleași caracteritici.,X,X,a
,b,Greutatea unui metru cub de aer la temperatura de 15°.,,0,
,c,O zonă cu o concentrație mai mare de aer în centrul unui anticiclon.,,0,
,d,O parte a atmosferei cu aceeași densitate a aerului.,,0,
CC164,,"164. În ceea ce privește dezvoltarea frontală, masa de aer este definită ca fiind caldă atunci când temperatura acesteia este mai mare decât",,b,b
,a,"15°C la nivelul mării cu 1013,2 hPa.",,0,b
,b,temperatura maselor de aer din jur.,X,X,b
,c,temperatura medie pentru sezon.,,0,
,d,temperatura care a avut-o de unde provenit masa de aer.,,0,
CC165,,"165. În meteorologie, se descrie termenul de ""front"" ca fiind",,d,d
,a,linia de separare la nivelul mării dintre două mase de aer.,,0,d
,b,o linie de zone de precipitații.,,0,d
,c,o zonă de precipitații cu vânturi mari.,,0,d
,d,suprafața de separare dintre două mase de aer diferite.,X,X,d
CC166,,166. Care afirmație este adevărată?,,c,c
,a,Trecerea fronturilor calde și reci începe la altitudine mare și apoi la nivelul solului.,,0,c
,b,Trecerea fronturilor calde și reci începe la nivelul solului și apoi la altitudine.,,0,c
,c,"Trecerea unui front cald are loc la început la altitudine, apoi la nivelul solului. Trecerea unui front rece are loc la început la nivelul solului, apoi la altitudine.",X,X,c
,d,"Trecerea unei front cald are loc la început la nivelul solului, apoi la altitudine. Trecerea unui front rece are loc la început la altitudine, apoi la nivelul solului.",,0,
CC167,,167. Care afirmație este adevărată?,,c,c
,a,Un front cald se mișcă mai repede decât un front rece.,,0,c
,b,Fronturile calde și reci se mișcă la aproximativ aceeași viteză.,,0,c
,c,Un front rece se mișcă mai repede decât un front cald.,X,X,c
,d,"În timpul iernii, frontul rece se mișcă mai repede, iar vara, frontul cald se mișcă mai repede.",,0,
CC168,,168. Care ordine a tipurilor de nor este tipică pentru trecerea unei front cald?,,c,c
,a,"Cumulus, cumulus congestus, cumulus calvus, cumulonimbus.",,0,c
,b,"Altocumulus, stratocumulus, altostratus, nimbostratus.",,0,c
,c,"Cirrus, cirstratus, altostratus, nimbostratus.",X,X,c
,d,"Lenticular, cumulus congestus, cirocumulus, altocumulus.",,0,
CC169,,169. Cum arată de obicei vremea cu o oră înainte de sosirea unui front cald?,,c,c
,a,"Cer albastru, fără vânt, turbulențe nu prea mari, briză constantă la decolare, termici bune, largi și line, cumulus congestius și cumulonimbus în depărtare.",,0,c
,b,"Cerul este acoperit 5/8 cu cumulus, vânt puternic, termici putermici cu înfundare puternică în jurul lor.",,0,c
,c,"Vizibilitate slabă, baza norilor scăzută, ploaie, vânt constant.",X,X,c
,d,"Nori acoperă munții din depărtare, nori cumulus și lenticulari în porțiunea albastră a cerului, schimbări de direcție de vânt pe pământ, vânt puternic de sud-vest la decolare.",,0,
CC170,,170. Ce semne indică fohn-ul de sud pe partea de nord a Alpilor?,,d,d
,a,"Cerul albastru, fără vânt, turbulențe mici, vânt constant la decolare, ascendență uniformă pe suprafețe mari, cumulus congestius și cumulonimbus la orizont.",,0,d
,b,"Cerul este acoperit cu 5/8 cumulus, vânturi puternice crescânde, termici puternice cu înfundări mari în jur.",,0,d
,c,"Vizibilitate proastă, bază norilor joasă, ploaie și vânt constant.",,0,d
,d,Munții de pe orizontul sudic au nori în jurul lor. Există nori cumulus și lenticulari în partea albastră a cerului. Vântul la sol vine din toate direcțiile și e preponderent din sud-vest la locul de decolare.,X,X,d
CC172,,172. Un front oclus apare când,,d,d
,a,un front cald depășește un front rece la altitudine.,,0,d
,b,un front rece trece peste un front cald la altitudine.,,0,d
,c,un front cald depășește un front rece la nivelul solului.,,0,d
,d,un front rece trece peste un front cald la nivelul solului.,X,X,d
CC173,,173. Un front oclus are,,d,d
,a,caracteristicile unui front cald.,,0,d
,b,caracteristicile unui front rece.,,0,d
,c,"caracteristicile inofensive ale unui front cald și rece, pe măsură ce ambele se neutralizează reciproc.",,0,d
,d,"caracteristicile meteorologice ale unei front fie cald fie rece, în funcție de temperatura fluxului de aer rece.",X,X,d
CC174,,174. Ce reprezintă următoarea imagine?,,b,b
,a,Un front cald.,,0,b
,b,Un front rece.,X,X,b
,c,O ocluzie cu caracteristicile unei front cald.,,0,
,d,d) O ocluzie cu caracteristicile unui front rece.,,0,
CC175,,175. Ce reprezintă următoarea imagine?,,c,c
,a,Un front cald.,,0,c
,b,Un front rece.,,0,c
,c,O ocluzie cu caracteristicile unei front cald.,X,X,c
,d, O ocluzie cu caracteristicile unui front rece.,,0,
CC176,,176. Ce reprezintă următoarea imagine?,,a,a
,a,Un front cald.,X,X,a
,b,Un front rece.,,0,
,c,O ocluzie cu caracteristicile unei front cald.,,0,
,d,O ocluzie cu caracteristicile unui front rece.,,0,
CC177,,177. Ce reprezintă următoarea imagine?,,d,d
,a,Un front cald.,,0,d
,b,Un front rece.,,0,d
,c,O ocluzie cu caracteristicile unei front cald.,,0,d
,d,O ocluzie cu caracteristicile unui front rece.,X,X,d
CC178,,"178. Formarea de nori cumulonimbus și, prin urmare, formarea de furtuni înainte de sosirea unui front este cel mai probabil cu",,c,c
,a,fronturi reci în ianuarie.,,0,c
,b,fronturi calde în ianuarie.,,0,c
,c,fronturi reci în luna august.,X,X,c
,d,fronturi calde în luna august.,,0,
CC179,,179. O masă de aer cald și umed se află deasupra României. Prognoza prezice sosirea unei mase polare de aer rece din nord-vest în timpul zilei. La ce tip de vreme ne poatem aștepta pentru această zi?,,c,c
,a,Condiții foarte favorabile pentru zborurile termice și la distanță din cauza aerului rece încălzit rapid de sol.,,0,c
,b,"Aerul rece care va sosi va stabiliza atmosfera, făcând astfel zborurile termice imposibile pentru ceva timp.",,0,c
,c,Furtuni frontale care aduc grindină si vânturi puternice.,X,X,c
,d,Răcirea continuă a aerului umed și cald și începutul treptat al precipitațiilor.,,0,
CC180,,180. În ce perioadă a zilei sunt furtunile termice (locale) cele mai probabile?,,b,b
,a,Dimineața.,,0,b
,b,După-amiaza târziu.,X,X,b
,c,La scurt timp după amiază.,,0,
,d,Timpul zilei nu are nici o influență asupra furtunilor termice (locale).,,0,
CC181,,181. În ce moment al zilei sunt probabile furtunile frontale?,,d,d
,a,10 am,,0,d
,b,15 pm,,0,d
,c,20 pm,,0,d
,d,Timpul zilei nu are nici o influență asupra furtunilor frontale.,X,X,d
CC182,,"182. În general, ce condiții cauzează o inversiune la nivelul solului?",,b,b
,a,"Încălzirea aerului care coboară, cu rata adiabatului uscat, în fața și în centrul unei presiuni ridicate.",,0,b
,b,Radiația nocturnă a căldurii din sol atunci când există cer senin.,X,X,b
,c,Masele de aer continentale care se stratifică aproape de sol.,,0,
,d,Încălzirea straturilor de aer adiacente solui pe parcursul zilei.,,0,
CC183,,183. Ce cauzează dispariția unei inversiuni de la nivelul solului?,,b,b
,a,Încălzirea aerului cald care coboară în fața și în centrul unei presiuni ridicate.,,0,b
,b,Radiația nocturnă a căldurii de pe pământ atunci când există cer senin.,X,X,b
,c,Aerul cald intrat în straturile superioare de aer.,,0,
,d,Încălzirea straturilor de aer aproape de sol pe parcursul zilei.,,0,
CC184,,184. Care sunt cele mai bune condiții pentru crearea unor termici bune într-o anumită zonă?,,b,b
,a,"Unghi mare de incidență al razelor solare, reflexie puternică.",,0,b
,b,"Unghi mare de incidență a razelor solare, reflexie slabă.",X,X,b
,c,"Unghi scăzut de incidență a razelor solare, reflexie slabă.",,0,
,d,"Unghi scăzut de incidență a razelor solare, reflexie puternică.",,0,
CC185,,185. Care sunt cele mai bune condiții pentru crearea unor termici bune într-o anumită zonă?,,d,d
,a,Zonă umedă și expusă vântului.,,0,d
,b,Zonă uscată și expusă vântului.,,0,d
,c,Zonă umedă și protejată de vânt.,,0,d
,d,Zonă uscată și protejată de vânt.,X,X,d
CC186,,186. În care din următoarele luni sunt cele mai pronunțate termici înzonele deluroase?,,b,b
,a,ianuarie,,0,b
,b,mai,X,X,b
,c,august,,0,
,d,octombrie,,0,
CC187,,187. În care din următoarele luni ajung termicile din munți la cele mai mari altitudini?,,c,c
,a,ianuarie,,0,c
,b,mai,,0,c
,c,august,X,X,c
,d,octombrie,,0,
CC188,,"188. Termenul ""termică de sub vânt"" înseamnă",,b,b
,a,Curentul descendent de pe partea protejată de vânt a unei mase de aer cald în urcare.,,0,b
,b,Aerul cald care se ridică de pe partea protejată de vânt a unui munte.,X,X,b
,c,Aerul cald creat de turbulența rotorului pe partea protejată de vânt a unui munte.,,0,
,d,Curent termic ascendent format în partea de sub vânt a altui curent termic ascendent.,,0,
CC189,,189. Termicile de sub vânt sunt cel mai probabil întâlnite,,d,d
,a,pe pantele nordice în timp ce bate vântul din nord.,,0,d
,b,pe pantele nordice în timp ce bate vântul din sud.,,0,d
,c,pe pantele sudice în timp ce bate vântul din sud.,,0,d
,d,pe pantele sudice în timp ce bate vântul din nord.,X,X,d
CC190,,"190. Termenul ""termică albastră"" înseamnă",,a,a
,a,aerul cald în urcare în care umiditatea este atât de mică încât nu permite dezvoltarea norilor cumulus.,X,X,a
,b,aerul cald în urcare în care umiditatea este atât de ridicată încât formează nori care generează precipitații.,,0,
,c,"aerul cald în urcare de peste corpuri întinse de apă, pe timpul nopții.",,0,
,d,"aerul cald în urcare, care este ridicat de o masă continentală de aer rece.",,0,
CC191,,191. Ar trebui să ne așteptăm la termici albastre când,,b,b
,a,"termica nu provine de la sol, ci dintr-un strat de aer mai înalt.",,0,b
,b,diferența de temperatură - punct de rouă a masei de aer în urcare este atât de mare încât punctul de rouă nu este atins.,X,X,b
,c,solul se răcește atât de mult în timpul nopții încât este mai rece decât un corp de apă învecinat.,,0,
,d,stratificarea atmosferică este atât de stabilă încât curenții termici sunt suprimați.,,0,
CC192,,"192. Termenul ""ascendență de restituție"" se referă la",,b,b
,a,"masele de aer care coboară în timpul zilei deasupra suprafețelor reci, cum ar fi ghețarii și lacurile.",,0,b
,b,"masele de aer în urcare din mijlocul văii, după apariția vântului de munte (catabatic).",X,X,b
,c,masele de aer descendente din apropierea curenților termici.,,0,
,d,curentul descendent din cauza temperaturii.,,0,
CC193,,"193. Pe o hartă meteorologică, acest simbol definește",,b,b
,a,o izobară.,,0,b
,b,un front rece.,X,X,b
,c,un front cald.,,0,
,d,un front oclus.,,0,
CC194,,"194. Pe o hartă meteorologică, acest simbol definește",,c,c
,a,o izobară.,,0,c
,b,un front rece.,,0,c
,c,un front cald.,X,X,c
,d,un front oclus.,,0,
CC195,,"195. Pe o hartă meteorologică, acest simbol definește",,a,a
,a,o izobară.,X,X,a
,b,un front rece.,,0,
,c,un front cald.,,0,
,d,un front oclus.,,0,
CC196,,"196. Pe o hartă meteorologică, acest simbol definește",,d,d
,a,o izobară.,,0,d
,b,un front rece.,,0,d
,c,un front cald.,,0,d
,d,un front oclus.,X,X,d
CC197,,197. Unde este centrul ciclonului?,,d,d
,a,lângă Tunis,,0,d
,b,deasupra golfului Biscaya (Golf von Biskaya),,0,d
,c,lângă Stockholm,,0,d
,d,lângă Lulea,X,X,d
CC198,,198. Unde este centrul anticiclonului?,,b,b
,a,lângă Tunis,,0,b
,b,deasupra golfului Biscaya (Golf von Biskaya),X,X,b
,c,lângă Stockholm,,0,
,d,lângă Lulea,,0,
CC199,,199. Unde este gradientul presiunii cel mai plat?,,a,a
,a,lângă Tunis,X,X,a
,b,deasupra golfului Biscaya (Golf von Biskaya),,0,
,c,lângă Stockholm,,0,
,d,lângă Lulea,,0,
CC200,,200. Unde este gradientul presiunii cel mai abrupt?,,c,c
,a,lângă Tunis,,0,c
,b,deasupra golfului Biscaya (Golf von Biskaya),,0,c
,c,lângă Stockholm,X,X,c
,d,lângă Lulea,,0,
CC201,,201. Unde e cel mai puternic vânt?,,c,c
,a,În nordul Africii.,,0,c
,b,În Elveția.,,0,c
,c,În sudul Scandinaviei.,X,X,c
,d,În Islanda.,,0,
CC202,,202. Unde e cel mai slab vânt?,,a,a
,a,În nordul Africii.,X,X,a
,b,În Elveția.,,0,
,c,În sudul Scandinaviei.,,0,
,d,În Islanda.,,0,
CC203,,203. Care este direcția vântului în Alger?,,c,c
,a,100 °,,0,c
,b,190 °,,0,c
,c,280 °,X,X,c
,d,320 °,,0,
CC204,,204. Care este direcția vântului în Londra?,,d,d
,a,130 °,,0,d
,b,190 °,,0,d
,c,270 °,,0,d
,d,310 °,X,X,d
CC205,,205. Care este direcția vântului în Atena?,,a,a
,a,130 °,X,X,a
,b,190 °,,0,
,c,270 °,,0,
,d,310 °,,0,
CC206,,206. Care este direcția vântului în Zurich?,,b,b
,a,100 °,,0,b
,b,210 °,X,X,b
,c,280 °,,0,
,d,030 °,,0,
CC207,,207. Care este direcția vântului în Lisabona?,,d,d
,a,100 °,,0,d
,b,190 °,,0,d
,c,250 °,,0,d
,d,320 °,X,X,d
CC208,,208. Care dintre următoarele orașe se află într-un sector cald?,,b,b
,a,Lulea și Sankt-Petersburg,,0,b
,b,Zurich și Stockholm,X,X,b
,c,Lisabona și Atena,,0,
,d,Paris și Londra,,0,
CC209,,209. În care dintre următoarele orașe sunt condiții meteo de după front?,,d,d
,a,Lulea și Sankt-Petersburg,,0,d
,b,Zurich și Stockholm,,0,d
,c,Lisabona și Atena,,0,d
,d,Paris și Londra,X,X,d
CC210,,210. Care dintre următoarele orașe sunt sub influența anticiclonului?,,c,c
,a,Lulea și Sankt-Petersburg,,0,c
,b,Zurich și Stockholm,,0,c
,c,Lisabona și Atena,X,X,c
,d,Paris și Londra,,0,
CC211,,211. Care este distribuția de nori cea mai probabilă în Lulea?,,b,b
,a,3/8 - 5/8 cumulus,,0,b
,b,5/8 - 7/8 cirostratus,X,X,b
,c,8/8 nimbostratus,,0,
,d,"5/8 - 7/8 cumulonimbus, lenticulari izolați în est",,0,
CC212,,212. Care este distribuția de nori cea mai probabilă în Paris?,,a,a
,a,3/8 - 5/8 cumulus,X,X,a
,b,5/8 - 7/8 cirostratus,,0,
,c,8/8 nimbostratus,,0,
,d,"5/8 - 7/8 cumulonimbus, lenticulari izolați în est",,0,
CC213,,213. Care este distribuția de nori cea mai probabilă în nordvestul Elveției?,,d,d
,a,5/8 - 7/8 cirocumulus,,0,d
,b,5/8 - 7/8 cirostratus,,0,d
,c,8/8 nimbostratus,,0,d
,d,"5/8 - 7/8 cumulonimbus, lenticulari izolați în est",X,X,d
CC214,,214. Care este distribuția de nori cea mai probabilă în St. Petersburg?,,c,c
,a,3/8 - 5/8 cumulus,,0,c
,b,5/8 - 7/8 cirostratus,,0,c
,c,8/8 nimbostratus,X,X,c
,d,"5/8 - 7/8 cumulonimbus, lenticulari izolați în est",,0,
Column1,Column2,Column3,Column4,,
CC60,,60. Aerul este un amestec de diferite gaze. Cele mai importante gaze și proporțiile lor sunt,,b,b
,a,aproximativ 78% oxigen și 21% azot.,,0,b
,b,aproximativ 78% azot și 21% oxigen.,X,X,b
,c,aproximativ 78% dioxid de carbon și 21% oxigen.,,0,
,d,aproximativ 78% oxigen și 21% dioxid de carbon.,,0,
CC61,,61. Cum variază temperatura aerului în troposferă cu creșterea altitudinii?,,d,d
,a,"Scade liniar cu 0,65°C/100m până la tropopauză.",,0,d
,b,Scade liniar cu 1°C/100m până la tropopauză.,,0,d
,c,"Scade, nu liniar, dar depinzând de straturile de aer variază între 0,1°C și 1,2°C.",,0,d
,d,"Depinzând de stratul de aer poate scădea, rămâne la fel sau crește, dar înmedie scade cu 0,65°C/100m.",X,X,d
CC62,,"62. Pentru a se asigura că toți utilizatorii spațiului aerian au altimetrele reglate la fel, atmosfera a fost standardizată. Care sunt valorile pentru atmosfera standard în regiunea troposferei? Presiunea la nivelul mării și temperatura/gradientul termic",,d,d
,a,"1033,6 hPa 15°C 1°C/100m",,0,d
,b,"1013,2 hPa 15°C 0.65°C/100m",,0,d
,c,"033,6 hPa 15°C 0,5°C/100m",,0,d
,d,"1013,2 hPa 15°C 1°C/100m",X,X,d
CC63,,63. Altitudinea medie a tropopauzei la latitudinea noastră este,,c,c
,a,4.000 m deasupra nivelului mării.,,0,c
,b,5.500 m deasupra nivelului mării.,,0,c
,c,11.000 m deasupra nivelului mării.,X,X,c
,d,50.000 m deasupra nivelului mării.,,0,
CC64,,64. Presiune aerului rezultă din,,d,d
,a,rotația pământului.,,0,d
,b,polii magnetici.,,0,d
,c,particulele de apă și de praf ce plutesc în aer.,,0,d
,d,gravitație.,X,X,d
CC65,,65. Cum variază presiunea aerului o dată cu creșterea altitudinii?,,c,c
,a,Se reduce la jumătate până la tropopauză și după aceea rămâne constant.,,0,c
,b,Se reduce cu aproximativ 80hPa / 100m de altitudine.,,0,c
,c,Se reduce cu jumătate la aproximativ fiecare 5.500 m de altitudine.,X,X,c
,d,Se reduce cu jumătate la aproximativ fiecare 11.000 m de altitudine.,,0,
CC66,,66. Care este presiunea medie de la nivelul măriii (atmosfera standard) folosită de meteorologiști?,,a,a
,a,"1013,2 hPa",X,X,a
,b,"1033,6 hPa",,0,
,c,"760,0 hPa",,0,
,d,"998,7 hPa",,0,
CC67,,67. Presiunea la nivelul mării,,d,d
,a,este întotdeauna constantă.,,0,d
,b,poate în cazuri mai rare să crească față de medie.,,0,d
,c,poate în cazuri mai rare să scadă față de medie.,,0,d
,d,d)poate fi mai mare sau mai mică față de valoarea medie depinzând de situația vremii.,X,X,d
CC68,,68. Presiunea intr-un punct dat la nivelul mării depinde de,,b,b
,a,maree.,,0,b
,b,circulația globală a aerului.,X,X,b
,c,caracteristicile suprafeței.,,0,
,d,longitudine.,,0,
CC69,,69. Barometrul arată o presiune de 980 hPa la nivelul mării. Care este cea mai probabilă presiune la o altitudine de 5.500 mdeasupra nivelului mări?,,d,d
,a,1035 hPa,,0,d
,b,980 hPa,,0,d
,c,650 hPa,,0,d
,d,490 hPa,X,X,d
CC70,,70. Un copil elibereaza un balon cu volum aproximativ de 5 dm3 la nivelul mării. Care este volumul aproximativ al balonului când ajunge la altitudinea de 5.500 m deasupra nivelului mării.,,c,c
,a,"2,5 dm3",,0,c
,b,5 dm3,,0,c
,c,10 dm3,X,X,c
,d,20 dm3,,0,
CC71,,71. Care este partea atmosferei unde condițiile meteorologice ne determină vremea?,,d,d
,a,Ionosfera,,0,d
,b,Mezosfera,,0,d
,c,Stratosfera,,0,d
,d,Troposfera,X,X,d
CC72,,72. Temperatura stratului de aer de lângă sol este influențată cel mai mult de,,a,a
,a,temperatura solului.,X,X,a
,b,acțiunea radiației solare supra particulelor de aer.,,0,
,c,umiditatea relativă a aerului.,,0,
,d,unghiul de incidență a razelor solare asupra particulelor de aer.,,0,
CC73,,"73. Pentru aceeași intensitate și unghi de incidență a razelor solare, care din următoarele tipuri de sol încălzește cel mai mult stratul de aer adiacent?",,d,d
,a,Solul pietros.,,0,d
,b,Pădure tânără.,,0,d
,c,O mlaștină.,,0,d
,d,Pășune uscată.,X,X,d
CC74,,74. La aceeași altitudine deasupra nivelului mării,,c,c
,a,aerul cald e mai dens decât aerul rece.,,0,c
,b,aerul cald are aceeași densitate ca aerul rece.,,0,c
,c,aerul cald e mai puțin dens ca aerul rece.,X,X,c
,d,densitatea aerului depinde de gradientul adiabatic.,,0,
CC75,,75. Cum variază temperatura unei bule de aer pe măsură ce se ridică de la sol fără a creea un nor?,,c,c
,a,Temperatura crește cu aproximativ 0.5°C /100m pentru că radiația solară devine tot mai intensă.,,0,c
,b,"Nu se poate determina, pentru că temperatura se egalizează cu cea a aerului din jur.c) Temperatura se reduce cu aproximativ 0.65°C /100m, cum de fapt e cazul în toată troposfera.",,0,c
,c,Temperatura se reduce cu aproximativ 1°C /100m pentru că presiunea se reduce o dată cu creșterea altitudinii.,X,X,c
CC76,,76. Cum variază temperatura unei bule de aer care urcă?,,a,a
,a,Pentru că presiunea scade o dată cu creșterea altitudinii rezultă extinderea bulei și pierdere de energie sub formă de căldură.,X,X,a
,b,"Bula se va răci pentru că s-a îndepărtat de sursa de căldură, adică suprafata solului.",,0,
,c,"Pentru că unghiul radiației solare se reduce o dată cu creșterea altitudinii, deci bula de aer primește mai puțină căldură de cât la nivelul solului.",,0,
,d,"Din cauză că bula de aer trebuie să evapore apă pe măsură ce urcă, există o relație între creșterea altitudinii și reducerea temperaturii.",,0,
CC77,,77. Cum variază volumul și temperatura unei mase de aer care coboară?,,c,c
,a,"Volumul crește, temperatura scade.",,0,c
,b,"Volumul crește, temperatura crește.",,0,c
,c,"Volumul scade, temperatura crește.",X,X,c
,d,"Volumul scade, temperatura scade.",,0,
CC78,,78. Care este principalul mod de încălzire în timpul zilei a unei mase de aer la 100m deasupra solului?,,a,a
,a,Aerul adiacent solului se încălzește și urcă în timp ce aerul de la altitudine coboară la sol unde este încălzit.,X,X,a
,b,"Radiația UV solară este absorbită de sol iar spectrul infraroșu este reflectat de sol, încălzind aerul mai mult sau mai puțin, proporțional cu distanța de la suprafața solului.",,0,
,c,"Radiația solară încarcă particulele de aer cu energie (ionizare), care este ulterior eliberată bub formă de căldură.",,0,
,d,"Stratul de aer adiacent solului se încălzește și, fiind un bun conductor termic,transferă căldura straturilor superioare de aer.",,0,
CC79,,"79. În medie temperatura din troposferă se reduce o dată cu creșterea altitudinii. Totuși, se poate întâmpla ca în anumite zone temperatura să crească. Cum se numește acest fenomen?",,d,d
,a,Superadiabatic,,0,d
,b,Izoterm,,0,d
,c,Restitutie,,0,d
,d,Inversiune,X,X,d
CC80,,"80. În medie temperatura din troposferă se reduce o dată cu creșterea altitudinii. Totuși, se poate întâmpla ca în anumite zone temperatura să rămănă constantă. Cum se numește acest fenomen?",,b,b
,a,Superadiabatic,,0,b
,b,Izotermă,X,X,b
,c,Restituție,,0,
,d,Inversiune,,0,
CC81,,"81. O bulă de aer se încălzește, se desprinde de sol și începe să se ridice. Cât de sus se poate ridica bula?",,c,c
,a,Până se reduce transferul de căldură de la sol.,,0,c
,b,Până când presiunea bulei este mai mică de cât cea a aerului din jur.,,0,c
,c,Până când diferența dintre temperatura ei si a aerului din jur se reduce la 0.,X,X,c
,d,Până când diferența dintre temperatura ei și punctul de rouă se reduce la 0.,,0,
CC82,,82. O inversiune este un strat de aer în care temperatura,,b,b
,a,scade o dată cu creșterea altitudinii.,,0,b
,b,crește o dată cu creșterea altitudinii.,X,X,b
,c,este deasupra nivelului de îngheț.,,0,
,d,este constantă.,,0,
CC83,,83. O izotermă este un strat de aer în care temperatura,,d,d
,a,scade o dată cu creșterea altitudinii.,,0,d
,b,crește o dată cu creșterea altitudinii.,,0,d
,c,este deasupra nivelului de îngheț.,,0,d
,d,este constantă.,X,X,d
CC84,,84. Inversiunile și izotermele sunt,,d,d
,a,puncte de origine și declanșare ale aerului termic care urcă.,,0,d
,b,elemente instabile stratificate ale troposferei.,,0,d
,c,stabile sau instabile depinzând de temperatură.,,0,d
,d,bariere pentru masele de aer termic care urcă.,X,X,d
CC85,,85. Gradientul de temperatură este definit ca fiind,,d,d
